주문하다 | <b>order</b><br>---
다시 와서 또 드라이브스루에서 기다려야 했어요. | <b>I had to wait in the drive-through again.</b><br>---

무료 쿠폰을 사용할게요. | <b>I'll use the complimentary coupon.</b><br>---

저는 차를 주문하지 않았어요. | <b>I didn't order tea.</b><br>---

어서 오세요, 주문하시겠어요? | <b>Welcome! What is your order?</b><br>---

세트메뉴 1번이랑 2번 주세요. | <b>We want combo #1 and #2.</b><br>---

알겠습니다. 뭐 다른 거 필요한 건 없으세요? | <b>Got it. Anything else for you?</b><br>---

탄산음료를 커피로 바꿀 수 있나요? | <b>Can I change the soda for a coffee?</b><br>---

네. 그러면 한잔은탄산음료이고한잔은커피맞으세요? | <b>Yes. So that's one soda and one coffee, correct?</b><br>---

아니요. 저희 두 잔 다 커피로 주세요. | <b>No. We would like two coffees instead.</b><br>---

네. 다음 창구로 이동해주세요. | <b>Okay. Please proceed to the next window.</b><br>---

합계가 얼마인가요? | <b>How much does that come to?</b><br>---

좋은 아침 이예요. 어떤 걸로 주문하시겠어요? | <b>Good morning. What would you like to order?</b><br>---

아이스 바닐라라떼 한 잔 주시겠어요? | <b>Can I get a vanilla iced latte?</b><br>---

네, 알겠습니다. 더 필요한 건 없으신가요? | <b>Okay. Will that be all?</b><br>---

글레이즈 도넛도 두 개 주시겠어요? | <b>Can I also get the two glazed doughnuts?</b><br>---

네. 주문하신 금액은 7.25달러입니다. 계산은 어떻게 하시겠어요? | <b>Okay. Your order comes to $7.25. How would you like to pay?</b><br>---

체크카드도 되죠? | <b>Do you accept a debit card?</b><br>---

네, 그럼요. 영수증 필요하세요? | <b>Yes, of course. Do you want a receipt?</b><br>---

네, 주세요. 냅킨도 조금 더 주시겠어요? | <b>Yes, please. Oh, can I also get extra napkins?</b><br>---

쇼핑백에 넣어 드릴게요. 주문하신 음식은<br>다음 창구로 이동해서 받으세요. | <b>They will be in your bag. Please go to the next window to pick up your order.</b><br>---

감사합니다. 그렇게 할게요. | <b>Thanks. I will do that.</b><br>---

좋은 아침입니다. 주문 어떻게 해드릴까요? | <b>Good morning. How may I take your order?</b><br>---

사실, 커피를 주문한 건데 차를 받았어요. | <b>Actually, I ordered coffee but you gave me tea.</b><br>---

첫 번째 창구로 가주세요.<br>거기서 처리해 드릴게요. | <b>Please drive up to the first window. I will deal with you there.</b><br>---

안녕하세요. 저는 차를 주문하지 않았어요. | <b>Hi, there. I didn't order tea.</b><br>---

영수증 있으세요? | <b>Do you have your receipt?</b><br>---

여기요. 보세요! 차가 아니죠. | <b>Here you go. See! No tea.</b><br>---

불편을 끼쳐드려 죄송합니다. | <b>We are sorry for any inconvenience.</b><br>---

다시와서 또드라이브스루에서 기다려야했어요. | <b>Well, I had to come back and wait in the drive-through again.</b><br>---

무료 커피 쿠폰 받으세요. | <b>Please take this complementary coupon for a free coffee.</b><br>---

감사합니다. 내일 커피 살 때 쓸게요. | <b>Thank you. I will use it for my coffee tomorrow.</b><br>---
